Country	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
China	1.48	1.77	1.65	1.95	2.49	2.56	3.23	4.03	4.70	5.34	6.46	7.33	8.86	10.42	12.54	14.55	16.78	19.52	22.23	23.82	25.77	27.29	30.31	33.11	32.33	36.41	41.41
US	22.61	21.86	22.40	23.57	23.21	23.03	23.59	25.05	24.73	25.42	25.19	24.85	22.89	22.02	20.80	20.27	18.65	17.57	16.22	14.63	14.94	14.71	14.37	12.96	13.67	12.36	10.82
India	1.83	1.96	1.85	2.05	2.25	2.81	2.91	3.14	3.71	3.62	4.26	4.67	4.46	4.99	5.68	5.97	7.09	7.90	8.87	8.50	8.34	8.12	7.07	7.26	6.63	6.35	7.49
Japan	12.39	12.83	13.17	12.40	14.37	14.27	13.34	12.31	12.36	11.53	11.25	10.85	10.56	10.49	8.78	8.73	9.12	8.20	7.54	7.56	7.01	7.01	6.69	6.24	6.34	5.94	5.07
Germany	7.54	8.86	8.30	8.11	7.93	7.49	6.76	6.69	6.64	6.55	6.20	5.76	5.94	5.76	5.77	5.94	6.04	6.43	5.90	6.06	5.89	6.00	5.89	5.89	6.00	6.01	4.95
Russia	1.60	1.33	1.48	1.29	1.95	3.59	3.17	3.10	2.96	3.40	3.01	3.29	2.79	2.81	2.54	2.54	2.29	2.15	2.15	2.51	2.65	2.87	2.97	3.07	3.03	2.95	2.88
UK	4.24	4.11	4.17	4.17	6.36	5.92	5.14	5.31	5.18	5.03	5.06	5.13	4.97	4.66	4.49	4.59	4.28	4.10	3.84	3.93	3.99	3.82	3.40	3.29	3.17	2.74	2.71
France	5.34	5.58	5.56	5.53	5.82	5.39	5.22	4.95	4.43	4.57	4.80	4.79	4.45	4.55	4.29	4.20	4.10	3.97	3.71	3.38	3.34	3.10	3.03	2.54	2.67	2.55	2.25
China w/o US	1.43	1.73	1.61	1.90	2.45	2.49	3.15	3.90	4.55	5.19	6.23	7.02	8.26	9.81	11.62	13.79	15.87	18.51	21.01	22.51	24.18	25.47	28.46	31.15	30.35	34.72	39.50
US w/o China	22.57	21.83	22.36	23.52	23.17	22.96	23.51	24.92	24.57	25.28	24.97	24.53	22.29	21.42	19.88	19.52	17.74	16.56	15.00	13.32	13.35	12.89	12.52	11.00	11.70	10.66	8.91
USA alone	21.91	21.15	21.54	22.68	22.46	21.91	22.58	23.88	23.51	24.37	24.06	23.49	21.28	20.00	18.34	18.02	16.65	15.51	14.04	12.43	12.63	12.33	12.05	10.69	11.02	10.04	8.56
CN alone	1.38	1.67	1.56	1.81	2.32	2.35	3.04	3.78	4.42	5.03	6.10	6.94	8.14	9.61	11.47	13.46	15.51	18.28	20.68	22.21	24.03	25.04	27.97	30.74	29.59	34.05	38.58