lemma	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
covid																										2	
pandemic											1				90	15	22			13	4	93		59	12	564	260
coronaviruses															16					10					50	80	197
coronavirinae																							190		180	29	113
alphacoronavirus																									128	5	86
betacoronavirus																									128		258
anticoronavirus																									7	124	135
coronavirus							22	12	60	304	286	214	338	251	213	86	41	820	194	114	104	72	208	40	1267	8203	12118
corona							4		2	1	11				5	18	14	8		3		74	85	13	49	2	32
coronaviridae								4												3	4	40	81		53	36	68